stretching 40.0
type_eddy 1.0
dy 500.0
H_eddy 200.0
V0_eddy 0.5
ngrid_y 400.0
Lx 200000.0
Lz 4000.0
dx 500.0
ngrid_z 100.0
R_eddy 10000.0
power_shape 20.0
refinement 4.0
Ly 200000.0
ngrid_x 400.0
i: 0000, t: 0 seconds, Δt: 1.100 seconds, umax = (5.0e-01, 5.0e-01, 1.0e-03) ms⁻¹, wall time: 0 seconds
i: 1000, t: 6.245 hours, Δt: 30 seconds, umax = (5.0e-01, 5.0e-01, 5.1e-03) ms⁻¹, wall time: 3.287 minutes
i: 2000, t: 14.578 hours, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 4.1e-03) ms⁻¹, wall time: 5.141 minutes
i: 3000, t: 22.911 hours, Δt: 30 seconds, umax = (4.9e-01, 4.8e-01, 3.8e-03) ms⁻¹, wall time: 7.174 minutes
i: 4000, t: 1.302 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 7.2e-03) ms⁻¹, wall time: 9.288 minutes
i: 5000, t: 1.649 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 6.1e-03) ms⁻¹, wall time: 11.324 minutes
i: 6000, t: 1.996 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 1.9e-02) ms⁻¹, wall time: 13.317 minutes
i: 7000, t: 2.343 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 3.2e-02) ms⁻¹, wall time: 15.386 minutes
i: 8000, t: 2.691 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 2.1e-02) ms⁻¹, wall time: 17.445 minutes
i: 9000, t: 3.038 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 3.0e-02) ms⁻¹, wall time: 19.617 minutes
i: 10000, t: 3.385 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 3.8e-02) ms⁻¹, wall time: 21.771 minutes
i: 11000, t: 3.732 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 3.8e-02) ms⁻¹, wall time: 23.951 minutes
i: 12000, t: 4.080 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 3.9e-02) ms⁻¹, wall time: 26.180 minutes
i: 13000, t: 4.427 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 3.8e-02) ms⁻¹, wall time: 28.353 minutes
i: 14000, t: 4.774 days, Δt: 30 seconds, umax = (4.9e-01, 4.8e-01, 3.7e-02) ms⁻¹, wall time: 30.527 minutes
i: 15000, t: 5.121 days, Δt: 30 seconds, umax = (4.8e-01, 4.8e-01, 3.7e-02) ms⁻¹, wall time: 32.767 minutes
i: 16000, t: 5.468 days, Δt: 30 seconds, umax = (4.7e-01, 4.7e-01, 2.9e-02) ms⁻¹, wall time: 34.934 minutes
i: 17000, t: 5.816 days, Δt: 30 seconds, umax = (4.7e-01, 4.5e-01, 2.1e-02) ms⁻¹, wall time: 37.096 minutes
i: 18000, t: 6.163 days, Δt: 30 seconds, umax = (4.8e-01, 4.3e-01, 2.2e-02) ms⁻¹, wall time: 39.321 minutes
i: 19000, t: 6.510 days, Δt: 30 seconds, umax = (4.8e-01, 4.2e-01, 1.7e-02) ms⁻¹, wall time: 41.496 minutes
i: 20000, t: 6.857 days, Δt: 30 seconds, umax = (4.9e-01, 4.3e-01, 2.9e-02) ms⁻¹, wall time: 43.663 minutes
i: 21000, t: 7.205 days, Δt: 30 seconds, umax = (4.9e-01, 4.6e-01, 3.3e-02) ms⁻¹, wall time: 45.883 minutes
i: 22000, t: 7.552 days, Δt: 30 seconds, umax = (5.0e-01, 4.8e-01, 3.3e-02) ms⁻¹, wall time: 48.060 minutes
i: 23000, t: 7.899 days, Δt: 30 seconds, umax = (5.1e-01, 4.9e-01, 3.5e-02) ms⁻¹, wall time: 50.233 minutes
i: 24000, t: 8.246 days, Δt: 30 seconds, umax = (5.1e-01, 4.9e-01, 2.1e-02) ms⁻¹, wall time: 52.460 minutes
i: 25000, t: 8.593 days, Δt: 30 seconds, umax = (5.2e-01, 4.9e-01, 3.5e-02) ms⁻¹, wall time: 54.634 minutes
i: 26000, t: 8.941 days, Δt: 30 seconds, umax = (5.3e-01, 4.8e-01, 3.5e-02) ms⁻¹, wall time: 56.803 minutes
i: 27000, t: 9.288 days, Δt: 30 seconds, umax = (5.3e-01, 4.5e-01, 2.6e-02) ms⁻¹, wall time: 59.015 minutes
i: 28000, t: 9.635 days, Δt: 30 seconds, umax = (5.5e-01, 4.5e-01, 3.6e-02) ms⁻¹, wall time: 1.019 hours
i: 29000, t: 9.982 days, Δt: 30 seconds, umax = (5.4e-01, 4.5e-01, 3.5e-02) ms⁻¹, wall time: 1.055 hours
i: 30000, t: 10.330 days, Δt: 30 seconds, umax = (5.4e-01, 4.3e-01, 3.9e-02) ms⁻¹, wall time: 1.092 hours
i: 31000, t: 10.677 days, Δt: 30 seconds, umax = (5.3e-01, 4.1e-01, 4.2e-02) ms⁻¹, wall time: 1.127 hours
i: 32000, t: 11.024 days, Δt: 30 seconds, umax = (5.4e-01, 4.0e-01, 3.7e-02) ms⁻¹, wall time: 1.163 hours
i: 33000, t: 11.371 days, Δt: 30 seconds, umax = (5.4e-01, 3.8e-01, 3.1e-02) ms⁻¹, wall time: 1.198 hours
i: 34000, t: 11.718 days, Δt: 30 seconds, umax = (5.5e-01, 3.6e-01, 3.7e-02) ms⁻¹, wall time: 1.233 hours
i: 35000, t: 12.066 days, Δt: 30 seconds, umax = (5.5e-01, 3.6e-01, 4.1e-02) ms⁻¹, wall time: 1.269 hours
i: 36000, t: 12.413 days, Δt: 30 seconds, umax = (5.5e-01, 3.7e-01, 5.2e-02) ms⁻¹, wall time: 1.304 hours
i: 37000, t: 12.760 days, Δt: 30 seconds, umax = (5.5e-01, 3.7e-01, 7.6e-02) ms⁻¹, wall time: 1.338 hours
i: 38000, t: 13.107 days, Δt: 30 seconds, umax = (5.5e-01, 3.5e-01, 6.0e-02) ms⁻¹, wall time: 1.374 hours
i: 39000, t: 13.455 days, Δt: 30 seconds, umax = (5.6e-01, 3.6e-01, 4.3e-02) ms⁻¹, wall time: 1.408 hours
i: 40000, t: 13.802 days, Δt: 30 seconds, umax = (5.5e-01, 4.1e-01, 5.0e-02) ms⁻¹, wall time: 1.443 hours
i: 41000, t: 14.149 days, Δt: 30 seconds, umax = (5.4e-01, 4.8e-01, 4.0e-02) ms⁻¹, wall time: 1.478 hours
i: 42000, t: 14.496 days, Δt: 30 seconds, umax = (5.3e-01, 5.3e-01, 4.2e-02) ms⁻¹, wall time: 1.513 hours
i: 43000, t: 14.843 days, Δt: 30 seconds, umax = (5.0e-01, 5.6e-01, 4.0e-02) ms⁻¹, wall time: 1.548 hours
i: 44000, t: 15.191 days, Δt: 30 seconds, umax = (4.8e-01, 6.0e-01, 4.7e-02) ms⁻¹, wall time: 1.583 hours
i: 45000, t: 15.538 days, Δt: 30 seconds, umax = (4.6e-01, 6.2e-01, 4.3e-02) ms⁻¹, wall time: 1.618 hours
i: 46000, t: 15.885 days, Δt: 30 seconds, umax = (4.3e-01, 6.2e-01, 4.3e-02) ms⁻¹, wall time: 1.652 hours
i: 47000, t: 16.232 days, Δt: 30 seconds, umax = (4.0e-01, 6.0e-01, 4.4e-02) ms⁻¹, wall time: 1.688 hours
i: 48000, t: 16.580 days, Δt: 30 seconds, umax = (4.1e-01, 5.8e-01, 4.1e-02) ms⁻¹, wall time: 1.722 hours
i: 49000, t: 16.927 days, Δt: 30 seconds, umax = (4.1e-01, 5.7e-01, 5.4e-02) ms⁻¹, wall time: 1.757 hours
i: 50000, t: 17.274 days, Δt: 30 seconds, umax = (3.9e-01, 5.8e-01, 5.0e-02) ms⁻¹, wall time: 1.793 hours
i: 51000, t: 17.621 days, Δt: 30 seconds, umax = (3.5e-01, 6.1e-01, 5.3e-02) ms⁻¹, wall time: 1.827 hours
i: 52000, t: 17.968 days, Δt: 30 seconds, umax = (3.3e-01, 6.2e-01, 6.3e-02) ms⁻¹, wall time: 1.862 hours
i: 53000, t: 18.316 days, Δt: 30 seconds, umax = (3.4e-01, 6.2e-01, 5.3e-02) ms⁻¹, wall time: 1.898 hours
i: 54000, t: 18.663 days, Δt: 30 seconds, umax = (3.2e-01, 6.0e-01, 8.6e-02) ms⁻¹, wall time: 1.933 hours
i: 55000, t: 19.010 days, Δt: 30 seconds, umax = (4.0e-01, 5.8e-01, 7.3e-02) ms⁻¹, wall time: 1.968 hours
