stretching 40.0
type_eddy 1.0
dy 500.0
H_eddy 200.0
V0_eddy 0.5
ngrid_y 400.0
Lx 200000.0
Lz 4000.0
dx 500.0
ngrid_z 100.0
R_eddy 10000.0
power_shape 20.0
refinement 4.0
Ly 200000.0
ngrid_x 400.0
i: 0000, t: 0 seconds, Δt: 1.100 seconds, umax = (5.2e-01, 5.1e-01, 7.3e-03) ms⁻¹, wall time: 0 seconds
i: 1000, t: 6.245 hours, Δt: 30 seconds, umax = (5.0e-01, 5.0e-01, 6.6e-03) ms⁻¹, wall time: 3.999 minutes
i: 2000, t: 14.578 hours, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 5.2e-03) ms⁻¹, wall time: 6.401 minutes
i: 3000, t: 22.911 hours, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 4.1e-03) ms⁻¹, wall time: 8.741 minutes
i: 4000, t: 1.302 days, Δt: 30 seconds, umax = (5.0e-01, 5.0e-01, 3.6e-03) ms⁻¹, wall time: 11.090 minutes
i: 5000, t: 1.649 days, Δt: 30 seconds, umax = (5.0e-01, 5.0e-01, 5.6e-03) ms⁻¹, wall time: 13.392 minutes
i: 6000, t: 1.996 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 1.0e-02) ms⁻¹, wall time: 15.689 minutes
i: 7000, t: 2.343 days, Δt: 30 seconds, umax = (5.1e-01, 4.9e-01, 1.6e-02) ms⁻¹, wall time: 18.021 minutes
i: 8000, t: 2.691 days, Δt: 30 seconds, umax = (5.1e-01, 4.9e-01, 1.9e-02) ms⁻¹, wall time: 20.306 minutes
i: 9000, t: 3.038 days, Δt: 30 seconds, umax = (4.9e-01, 4.8e-01, 2.2e-02) ms⁻¹, wall time: 22.624 minutes
i: 10000, t: 3.385 days, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 2.0e-02) ms⁻¹, wall time: 24.900 minutes
i: 11000, t: 3.732 days, Δt: 30 seconds, umax = (5.0e-01, 4.8e-01, 1.7e-02) ms⁻¹, wall time: 27.180 minutes
i: 12000, t: 4.080 days, Δt: 30 seconds, umax = (5.0e-01, 5.0e-01, 1.4e-02) ms⁻¹, wall time: 29.504 minutes
i: 13000, t: 4.427 days, Δt: 30 seconds, umax = (5.0e-01, 5.1e-01, 1.5e-02) ms⁻¹, wall time: 31.790 minutes
i: 14000, t: 4.774 days, Δt: 30 seconds, umax = (4.7e-01, 5.0e-01, 1.2e-02) ms⁻¹, wall time: 34.081 minutes
i: 15000, t: 5.121 days, Δt: 30 seconds, umax = (4.6e-01, 5.0e-01, 1.1e-02) ms⁻¹, wall time: 36.414 minutes
i: 16000, t: 5.468 days, Δt: 30 seconds, umax = (4.7e-01, 5.0e-01, 8.4e-03) ms⁻¹, wall time: 38.705 minutes
i: 17000, t: 5.816 days, Δt: 30 seconds, umax = (4.8e-01, 5.2e-01, 9.4e-03) ms⁻¹, wall time: 40.996 minutes
i: 18000, t: 6.163 days, Δt: 30 seconds, umax = (4.7e-01, 5.5e-01, 9.9e-03) ms⁻¹, wall time: 43.326 minutes
i: 19000, t: 6.510 days, Δt: 30 seconds, umax = (4.4e-01, 6.0e-01, 8.3e-03) ms⁻¹, wall time: 45.619 minutes
i: 20000, t: 6.857 days, Δt: 30 seconds, umax = (4.2e-01, 5.9e-01, 1.1e-02) ms⁻¹, wall time: 47.916 minutes
i: 21000, t: 7.205 days, Δt: 30 seconds, umax = (4.3e-01, 5.9e-01, 1.4e-02) ms⁻¹, wall time: 50.254 minutes
i: 22000, t: 7.552 days, Δt: 30 seconds, umax = (4.1e-01, 5.9e-01, 1.9e-02) ms⁻¹, wall time: 52.555 minutes
i: 23000, t: 7.899 days, Δt: 30 seconds, umax = (4.1e-01, 6.0e-01, 1.5e-02) ms⁻¹, wall time: 54.856 minutes
i: 24000, t: 8.246 days, Δt: 30 seconds, umax = (3.9e-01, 5.9e-01, 1.2e-02) ms⁻¹, wall time: 57.193 minutes
i: 25000, t: 8.593 days, Δt: 30 seconds, umax = (3.6e-01, 5.9e-01, 1.9e-02) ms⁻¹, wall time: 59.491 minutes
i: 26000, t: 8.941 days, Δt: 30 seconds, umax = (3.7e-01, 5.8e-01, 1.5e-02) ms⁻¹, wall time: 1.030 hours
i: 27000, t: 9.288 days, Δt: 30 seconds, umax = (3.9e-01, 5.5e-01, 1.3e-02) ms⁻¹, wall time: 1.069 hours
i: 28000, t: 9.635 days, Δt: 30 seconds, umax = (4.1e-01, 5.2e-01, 1.6e-02) ms⁻¹, wall time: 1.107 hours
i: 29000, t: 9.982 days, Δt: 30 seconds, umax = (4.3e-01, 4.9e-01, 1.4e-02) ms⁻¹, wall time: 1.145 hours
i: 30000, t: 10.330 days, Δt: 30 seconds, umax = (4.3e-01, 4.8e-01, 1.3e-02) ms⁻¹, wall time: 1.184 hours
i: 31000, t: 10.677 days, Δt: 30 seconds, umax = (4.5e-01, 4.7e-01, 1.8e-02) ms⁻¹, wall time: 1.222 hours
i: 32000, t: 11.024 days, Δt: 30 seconds, umax = (4.6e-01, 4.6e-01, 1.8e-02) ms⁻¹, wall time: 1.260 hours
i: 33000, t: 11.371 days, Δt: 30 seconds, umax = (4.8e-01, 4.5e-01, 1.3e-02) ms⁻¹, wall time: 1.298 hours
i: 34000, t: 11.718 days, Δt: 30 seconds, umax = (5.0e-01, 4.5e-01, 8.4e-03) ms⁻¹, wall time: 1.336 hours
i: 35000, t: 12.066 days, Δt: 30 seconds, umax = (5.3e-01, 4.3e-01, 9.5e-03) ms⁻¹, wall time: 1.374 hours
i: 36000, t: 12.413 days, Δt: 30 seconds, umax = (5.6e-01, 4.0e-01, 1.2e-02) ms⁻¹, wall time: 1.412 hours
i: 37000, t: 12.760 days, Δt: 30 seconds, umax = (5.8e-01, 3.7e-01, 8.8e-03) ms⁻¹, wall time: 1.449 hours
i: 38000, t: 13.107 days, Δt: 30 seconds, umax = (6.1e-01, 3.7e-01, 8.0e-03) ms⁻¹, wall time: 1.487 hours
i: 39000, t: 13.455 days, Δt: 30 seconds, umax = (6.3e-01, 3.9e-01, 1.0e-02) ms⁻¹, wall time: 1.524 hours
i: 40000, t: 13.802 days, Δt: 30 seconds, umax = (6.3e-01, 4.3e-01, 8.6e-03) ms⁻¹, wall time: 1.561 hours
i: 41000, t: 14.149 days, Δt: 30 seconds, umax = (6.2e-01, 4.8e-01, 7.5e-03) ms⁻¹, wall time: 1.599 hours
i: 42000, t: 14.496 days, Δt: 30 seconds, umax = (6.0e-01, 5.3e-01, 7.6e-03) ms⁻¹, wall time: 1.636 hours
i: 43000, t: 14.843 days, Δt: 30 seconds, umax = (5.8e-01, 5.7e-01, 8.6e-03) ms⁻¹, wall time: 1.673 hours
i: 44000, t: 15.191 days, Δt: 30 seconds, umax = (5.5e-01, 5.7e-01, 8.2e-03) ms⁻¹, wall time: 1.710 hours
i: 45000, t: 15.538 days, Δt: 30 seconds, umax = (5.4e-01, 5.7e-01, 1.1e-02) ms⁻¹, wall time: 1.747 hours
i: 46000, t: 15.885 days, Δt: 30 seconds, umax = (5.4e-01, 5.7e-01, 1.1e-02) ms⁻¹, wall time: 1.783 hours
i: 47000, t: 16.232 days, Δt: 30 seconds, umax = (5.6e-01, 5.7e-01, 7.0e-03) ms⁻¹, wall time: 1.821 hours
i: 48000, t: 16.580 days, Δt: 30 seconds, umax = (5.5e-01, 5.6e-01, 8.6e-03) ms⁻¹, wall time: 1.857 hours
i: 49000, t: 16.927 days, Δt: 30 seconds, umax = (5.4e-01, 5.4e-01, 8.9e-03) ms⁻¹, wall time: 1.894 hours
i: 50000, t: 17.274 days, Δt: 30 seconds, umax = (5.5e-01, 5.3e-01, 1.1e-02) ms⁻¹, wall time: 1.931 hours
i: 51000, t: 17.621 days, Δt: 30 seconds, umax = (5.4e-01, 5.5e-01, 1.0e-02) ms⁻¹, wall time: 1.967 hours
i: 52000, t: 17.968 days, Δt: 30 seconds, umax = (5.1e-01, 5.8e-01, 9.8e-03) ms⁻¹, wall time: 2.004 hours
i: 53000, t: 18.316 days, Δt: 30 seconds, umax = (4.6e-01, 6.0e-01, 1.1e-02) ms⁻¹, wall time: 2.041 hours
i: 54000, t: 18.663 days, Δt: 30 seconds, umax = (4.2e-01, 6.1e-01, 1.1e-02) ms⁻¹, wall time: 2.078 hours
i: 55000, t: 19.010 days, Δt: 30 seconds, umax = (4.1e-01, 6.0e-01, 7.4e-03) ms⁻¹, wall time: 2.115 hours
i: 56000, t: 19.357 days, Δt: 30 seconds, umax = (4.4e-01, 5.7e-01, 1.0e-02) ms⁻¹, wall time: 2.151 hours
i: 57000, t: 19.705 days, Δt: 30 seconds, umax = (4.6e-01, 5.3e-01, 8.6e-03) ms⁻¹, wall time: 2.188 hours
i: 58000, t: 20.052 days, Δt: 30 seconds, umax = (4.6e-01, 5.0e-01, 6.3e-03) ms⁻¹, wall time: 2.225 hours
i: 59000, t: 20.399 days, Δt: 30 seconds, umax = (5.2e-01, 4.8e-01, 9.1e-03) ms⁻¹, wall time: 2.261 hours
i: 60000, t: 20.746 days, Δt: 30 seconds, umax = (5.7e-01, 4.6e-01, 7.0e-03) ms⁻¹, wall time: 2.298 hours
i: 61000, t: 21.093 days, Δt: 30 seconds, umax = (5.9e-01, 4.4e-01, 6.1e-03) ms⁻¹, wall time: 2.335 hours
i: 62000, t: 21.441 days, Δt: 30 seconds, umax = (6.1e-01, 4.1e-01, 7.2e-03) ms⁻¹, wall time: 2.371 hours
i: 63000, t: 21.788 days, Δt: 30 seconds, umax = (6.4e-01, 4.1e-01, 6.7e-03) ms⁻¹, wall time: 2.408 hours
i: 64000, t: 22.135 days, Δt: 30 seconds, umax = (6.5e-01, 4.5e-01, 7.4e-03) ms⁻¹, wall time: 2.452 hours
i: 65000, t: 22.482 days, Δt: 30 seconds, umax = (6.5e-01, 5.0e-01, 8.3e-03) ms⁻¹, wall time: 2.488 hours
i: 66000, t: 22.830 days, Δt: 30 seconds, umax = (6.4e-01, 5.4e-01, 7.5e-03) ms⁻¹, wall time: 2.525 hours
i: 67000, t: 23.177 days, Δt: 30 seconds, umax = (6.5e-01, 5.6e-01, 7.2e-03) ms⁻¹, wall time: 2.561 hours
i: 68000, t: 23.524 days, Δt: 30 seconds, umax = (6.3e-01, 5.4e-01, 7.3e-03) ms⁻¹, wall time: 2.598 hours
i: 69000, t: 23.871 days, Δt: 30 seconds, umax = (6.1e-01, 5.7e-01, 7.8e-03) ms⁻¹, wall time: 2.634 hours
i: 70000, t: 24.218 days, Δt: 30 seconds, umax = (5.9e-01, 5.7e-01, 7.6e-03) ms⁻¹, wall time: 2.671 hours
i: 71000, t: 24.566 days, Δt: 30 seconds, umax = (5.5e-01, 5.6e-01, 7.3e-03) ms⁻¹, wall time: 2.707 hours
i: 72000, t: 24.913 days, Δt: 30 seconds, umax = (5.3e-01, 5.5e-01, 7.0e-03) ms⁻¹, wall time: 2.743 hours
i: 73000, t: 25.260 days, Δt: 30 seconds, umax = (5.0e-01, 5.8e-01, 8.1e-03) ms⁻¹, wall time: 2.780 hours
i: 74000, t: 25.607 days, Δt: 30 seconds, umax = (4.8e-01, 5.9e-01, 8.5e-03) ms⁻¹, wall time: 2.816 hours
i: 75000, t: 25.955 days, Δt: 30 seconds, umax = (4.6e-01, 5.9e-01, 8.2e-03) ms⁻¹, wall time: 2.852 hours
i: 76000, t: 26.302 days, Δt: 30 seconds, umax = (4.8e-01, 5.9e-01, 1.2e-02) ms⁻¹, wall time: 2.889 hours
i: 77000, t: 26.649 days, Δt: 30 seconds, umax = (5.1e-01, 5.7e-01, 9.9e-03) ms⁻¹, wall time: 2.925 hours
i: 78000, t: 26.996 days, Δt: 30 seconds, umax = (5.1e-01, 5.7e-01, 8.0e-03) ms⁻¹, wall time: 2.961 hours
